time,amp_8k,amp16k,amp32k,amp64k,amp128k,phase8k,phase16k,phase32k,phase64k,phase128k
1483714531.744,0.002994,0.002740,0.004294,0.006448,0.006756,-0.785,-0.785,-0.785,-0.785,-0.785
1483714537.626,0.002722,0.003499,0.004696,0.005173,0.006792,-0.785,-0.785,-0.785,-0.785,-0.785
1483714543.547,0.002986,0.003574,0.003353,0.004246,0.007915,-0.785,-0.785,-0.785,-1.107,-0.785
1483714549.439,0.002832,0.002625,0.003992,0.005935,0.007965,-0.785,-0.785,-0.785,-0.785,-0.785
1483714555.333,0.002781,0.003574,0.004016,0.005890,0.007915,-0.785,-0.785,-0.785,-0.785,-0.785
1483714561.187,0.002781,0.002445,0.004500,0.005890,0.007965,-0.785,-0.785,-0.785,-0.785,-0.785
1483714567.038,0.003096,0.003002,0.002611,0.004289,0.007915,-0.785,-0.785,-0.785,-1.107,-0.785
1483714572.898,0.002722,0.003523,0.004481,0.004289,0.007965,-0.785,-0.785,-0.785,-1.107,-0.785
1483714578.715,0.003237,0.003200,0.003311,0.005890,0.007965,-0.785,-0.785,-0.785,-0.785,-0.785
1483714584.589,0.003295,0.003586,0.002611,0.005890,0.007965,-0.785,-0.785,-0.785,-0.785,-0.785
